epc,FirstSeenTime,LastSeenTime,Channel,PeakRSSI,PhaseAngle,DopplerFreq
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125987968,0,920.625,-57,0.509281621578033,21.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237125998417,0,920.625,-57,0.656543777215054,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126011044,0,920.625,-57.5,0.625864161457342,-8.9375
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126021656,0,920.625,-57,0.552233083638831,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126032624,0,920.625,-57,0.681087469821225,-25.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126043106,0,920.625,-57,0.595184545699629,-1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126054608,0,920.625,-57.5,0.687223392972767,-30.0625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126067910,0,920.625,-57.5,0.595184545699629,-4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126075972,0,920.625,-57,0.558369006790373,7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126087122,0,920.625,-57.5,0.533825314184203,13
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126101808,0,920.625,-57,0.564504929941916,1.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126110665,0,920.625,-57,0.632000084608884,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126123664,0,920.625,-57.5,0.558369006790373,14.625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126135108,0,920.625,-57.5,0.699495239275852,-34.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126145083,0,920.625,-57,0.644271930911969,-30.0625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126156272,0,920.625,-57,0.662679700366597,-17.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126166618,0,920.625,-57.5,0.607456392002714,-12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126181203,0,920.625,-57,0.674951546669682,-26.8125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126191421,0,920.625,-57.5,0.681087469821225,-23.5625
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126203716,0,920.625,-57,0.595184545699629,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126211180,0,920.625,-57,0.582912699396544,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126225980,0,920.625,-57,0.595184545699629,-7.3125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126236688,0,920.625,-57,0.687223392972767,-43.125
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126248477,0,920.625,-57.5,0.564504929941916,0
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126258255,0,920.625,-57,0.576776776245001,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126269792,0,920.625,-57,0.558369006790373,4.875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126281441,0,920.625,-57,0.619728238305799,-12.1875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126292368,0,920.625,-57.5,0.589048622548086,-5.6875
FFFF FFFF FFFF FFFF FFFF FFFF,1487237126303276,0,920.625,-57.5,0.546097160487288,14.625
